Individual,Plot,Damage_rating_5_point_scale,Holdfast_presence_absence,Treatment,Spring_scale_reading_kg,Initial_mass_g,Amputated_mass_g,Per_amputated_mass,Initial_length_cm,Amputated_length_cm,Per_amputated_length,Blade_number,Initial_blade_length_cm,Initial_hole_length_cm,Final_hole_length_cm,Growth_cm,Average_growth_cm,Mass_remaining_g,Length_remaining_cm
1,1,0,Present,2,8,2000,1534,0.767,1570,1380,0.878980892,1,40,10,14.2,4.2,5.74,466,190
1,1,0,Present,2,,2000,1534,0.767,1570,1380,0.878980892,2,40,10,13.8,3.8,,466,190
1,1,0,Present,2,,2000,1534,0.767,1570,1380,0.878980892,3,40,10,17.7,7.7,,466,190
1,1,0,Present,2,,2000,1534,0.767,1570,1380,0.878980892,4,40,10,19.3,9.3,,466,190
1,1,0,Present,2,,2000,1534,0.767,1570,1380,0.878980892,5,40,10,13.7,3.7,,466,190
2,1,0,Present,2,9.22,3220,816,0.253416149,933,761,0.815648446,1,40,10,15,5,4.44,2404,172
2,1,0,Present,2,,3220,816,0.253416149,933,761,0.815648446,2,40,10,15.2,5.2,,2404,172
2,1,0,Present,2,,3220,816,0.253416149,933,761,0.815648446,3,40,10,14.8,4.8,,2404,172
2,1,0,Present,2,,3220,816,0.253416149,933,761,0.815648446,4,40,10,13.2,3.2,,2404,172
2,1,0,Present,2,,3220,816,0.253416149,933,761,0.815648446,5,40,10,14,4,,2404,172
3,1,0,Present,3,8.1,2100,1634,0.778095238,309,304,0.98381877,1,40,10,14,4,4.82,466,5
3,1,0,Present,3,,2100,1634,0.778095238,309,304,0.98381877,2,40,10,14.6,4.6,,466,5
3,1,0,Present,3,,2100,1634,0.778095238,309,304,0.98381877,3,40,10,14.9,4.9,,466,5
3,1,0,Present,3,,2100,1634,0.778095238,309,304,0.98381877,4,40,10,14.7,4.7,,466,5
3,1,0,Present,3,,2100,1634,0.778095238,309,304,0.98381877,5,40,10,15.9,5.9,,466,5
4,1,1,Present,2,9.4,3400,1198,0.352352941,1063,882,0.829727187,1,40,10,13.8,3.8,3.72,2202,181
4,1,1,Present,2,,3400,1198,0.352352941,1063,882,0.829727187,2,40,10,14.7,4.7,,2202,181
4,1,1,Present,2,,3400,1198,0.352352941,1063,882,0.829727187,3,40,10,12.9,2.9,,2202,181
4,1,1,Present,2,,3400,1198,0.352352941,1063,882,0.829727187,4,40,10,14.5,4.5,,2202,181
4,1,1,Present,2,,3400,1198,0.352352941,1063,882,0.829727187,5,40,10,12.7,2.7,,2202,181
5,1,1,Present,3,8.9,2900,2240,0.772413793,947,936,0.988384372,1,40,10,14.2,4.2,4.42,660,11
5,1,1,Present,3,,2900,2240,0.772413793,947,936,0.988384372,2,40,10,15.8,5.8,,660,11
5,1,1,Present,3,,2900,2240,0.772413793,947,936,0.988384372,3,40,10,13.6,3.6,,660,11
5,1,1,Present,3,,2900,2240,0.772413793,947,936,0.988384372,4,40,10,13.8,3.8,,660,11
5,1,1,Present,3,,2900,2240,0.772413793,947,936,0.988384372,5,40,10,14.7,4.7,,660,11
6,1,1,Absent,3,8.1,2100,1730,0.823809524,1008,1006,0.998015873,1,40,10,13.4,3.4,4,370,2
6,1,1,Absent,3,,2100,1730,0.823809524,1008,1006,0.998015873,2,40,10,13.6,3.6,,370,2
6,1,1,Absent,3,,2100,1730,0.823809524,1008,1006,0.998015873,3,40,10,14.2,4.2,,370,2
6,1,1,Absent,3,,2100,1730,0.823809524,1008,1006,0.998015873,4,40,10,14.6,4.6,,370,2
6,1,1,Absent,3,,2100,1730,0.823809524,1008,1006,0.998015873,5,40,10,14.2,4.2,,370,2
7,1,1,Present,1,9.5,3500,0,0,1054,0,0,1,40,10,,,,3500,1054
7,1,1,Present,1,,3500,0,0,1054,0,0,2,40,10,,,,3500,1054
7,1,1,Present,1,,3500,0,0,1054,0,0,3,40,10,,,,3500,1054
7,1,1,Present,1,,3500,0,0,1054,0,0,4,40,10,,,,3500,1054
7,1,1,Present,1,,3500,0,0,1054,0,0,5,40,10,,,,3500,1054
8,1,2,Present,1,9.1,3100,0,0,626,0,0,1,40,10,13,3,2.66,3100,626
8,1,2,Present,1,,3100,0,0,626,0,0,2,40,10,12.3,2.3,,3100,626
8,1,2,Present,1,,3100,0,0,626,0,0,3,40,10,13.8,3.8,,3100,626
8,1,2,Present,1,,3100,0,0,626,0,0,4,40,10,14,4,,3100,626
8,1,2,Present,1,,3100,0,0,626,0,0,5,40,10,10.2,0.2,,3100,626
9,1,2,Absent,2,7.9,1900,464,0.244210526,1034,853,0.824951644,1,40,10,,,,1436,181
9,1,2,Absent,2,,1900,464,0.244210526,1034,853,0.824951644,2,40,10,,,,1436,181
9,1,2,Absent,2,,1900,464,0.244210526,1034,853,0.824951644,3,40,10,,,,1436,181
9,1,2,Absent,2,,1900,464,0.244210526,1034,853,0.824951644,4,40,10,,,,1436,181
9,1,2,Absent,2,,1900,464,0.244210526,1034,853,0.824951644,5,40,10,,,,1436,181
10,1,2,Present,1,8.75,2750,0,0,1112,0,0,1,40,10,,,,2750,1112
10,1,2,Present,1,,2750,0,0,1112,0,0,2,40,10,,,,2750,1112
10,1,2,Present,1,,2750,0,0,1112,0,0,3,40,10,,,,2750,1112
10,1,2,Present,1,,2750,0,0,1112,0,0,4,40,10,,,,2750,1112
10,1,2,Present,1,,2750,0,0,1112,0,0,5,40,10,,,,2750,1112
11,1,0,Present,1,8.04,2040,0,0,1123,0,0,1,40,10,13.1,3.1,2.58,2040,1123
11,1,0,Present,1,,2040,0,0,1123,0,0,2,40,10,12.2,2.2,,2040,1123
11,1,0,Present,1,,2040,0,0,1123,0,0,3,40,10,12.8,2.8,,2040,1123
11,1,0,Present,1,,2040,0,0,1123,0,0,4,40,10,12.3,2.3,,2040,1123
11,1,0,Present,1,,2040,0,0,1123,0,0,5,40,10,12.5,2.5,,2040,1123
12,1,0,Present,1,8.4,2400,0,0,931,0,0,1,40,10,13.8,3.8,3.2,2400,931
12,1,0,Present,1,,2400,0,0,931,0,0,2,40,10,13.2,3.2,,2400,931
12,1,0,Present,1,,2400,0,0,931,0,0,3,40,10,12.6,2.6,,2400,931
12,1,0,Present,1,,2400,0,0,931,0,0,4,40,10,13.8,3.8,,2400,931
12,1,0,Present,1,,2400,0,0,931,0,0,5,40,10,12.6,2.6,,2400,931
13,1,0,Absent,3,9.6,3600,2880,0.8,672,665,0.989583333,1,40,10,13.2,3.2,3.48,720,7
13,1,0,Absent,3,,3600,2880,0.8,672,665,0.989583333,2,40,10,12.6,2.6,,720,7
13,1,0,Absent,3,,3600,2880,0.8,672,665,0.989583333,3,40,10,14.4,4.4,,720,7
13,1,0,Absent,3,,3600,2880,0.8,672,665,0.989583333,4,40,10,13.8,3.8,,720,7
13,1,0,Absent,3,,3600,2880,0.8,672,665,0.989583333,5,40,10,13.4,3.4,,720,7
14,1,0,Present,3,8.5,2500,2022,0.8088,1144,1126,0.984265734,1,40,10,13.9,3.9,3.54,478,18
14,1,0,Present,3,,2500,2022,0.8088,1144,1126,0.984265734,2,40,10,13.8,3.8,,478,18
14,1,0,Present,3,,2500,2022,0.8088,1144,1126,0.984265734,3,40,10,13.6,3.6,,478,18
14,1,0,Present,3,,2500,2022,0.8088,1144,1126,0.984265734,4,40,10,13.6,3.6,,478,18
14,1,0,Present,3,,2500,2022,0.8088,1144,1126,0.984265734,5,40,10,12.8,2.8,,478,18
15,1,1,Present,2,7.104,1104,364,0.329710145,934,787,0.84261242,1,40,10,12.1,2.1,1.72,740,147
15,1,1,Present,2,,1104,364,0.329710145,934,787,0.84261242,2,40,10,12.2,2.2,,740,147
15,1,1,Present,2,,1104,364,0.329710145,934,787,0.84261242,3,40,10,11.8,1.8,,740,147
15,1,1,Present,2,,1104,364,0.329710145,934,787,0.84261242,4,40,10,10.8,0.8,,740,147
15,1,1,Present,2,,1104,364,0.329710145,934,787,0.84261242,5,40,10,11.7,1.7,,740,147
16,1,2,Absent,3,7.5,1500,1324,0.882666667,377,366,0.970822281,1,40,10,13.6,3.6,3.36,176,11
16,1,2,Absent,3,,1500,1324,0.882666667,377,366,0.970822281,2,40,10,12.8,2.8,,176,11
16,1,2,Absent,3,,1500,1324,0.882666667,377,366,0.970822281,3,40,10,12.8,2.8,,176,11
16,1,2,Absent,3,,1500,1324,0.882666667,377,366,0.970822281,4,40,10,13.7,3.7,,176,11
16,1,2,Absent,3,,1500,1324,0.882666667,377,366,0.970822281,5,40,10,13.9,3.9,,176,11
17,2,0,Present,3,9.1,3100,2615,0.843548387,625,617,0.9872,1,40,10,14.7,4.7,4.9,485,8
17,2,0,Present,3,,3100,2615,0.843548387,625,617,0.9872,2,40,10,17.3,7.3,,485,8
17,2,0,Present,3,,3100,2615,0.843548387,625,617,0.9872,3,40,10,14.1,4.1,,485,8
17,2,0,Present,3,,3100,2615,0.843548387,625,617,0.9872,4,40,10,14.5,4.5,,485,8
17,2,0,Present,3,,3100,2615,0.843548387,625,617,0.9872,5,40,10,13.9,3.9,,485,8
18,2,0,Absent,2,8.8,2800,874,0.312142857,700,529,0.755714286,1,40,10,12.1,2.1,2.42,1926,171
18,2,0,Absent,2,,2800,874,0.312142857,700,529,0.755714286,2,40,10,12.1,2.1,,1926,171
18,2,0,Absent,2,,2800,874,0.312142857,700,529,0.755714286,3,40,10,13.3,3.3,,1926,171
18,2,0,Absent,2,,2800,874,0.312142857,700,529,0.755714286,4,40,10,12.5,2.5,,1926,171
18,2,0,Absent,2,,2800,874,0.312142857,700,529,0.755714286,5,40,10,12.1,2.1,,1926,171
19,2,2,Present,2,8.85,2850,652,0.22877193,493,334,0.677484787,1,40,10,13.5,3.5,3.42,2198,159
19,2,2,Present,2,,2850,652,0.22877193,493,334,0.677484787,2,40,10,13.1,3.1,,2198,159
19,2,2,Present,2,,2850,652,0.22877193,493,334,0.677484787,3,40,10,14.7,4.7,,2198,159
19,2,2,Present,2,,2850,652,0.22877193,493,334,0.677484787,4,40,10,12.2,2.2,,2198,159
19,2,2,Present,2,,2850,652,0.22877193,493,334,0.677484787,5,40,10,13.6,3.6,,2198,159
20,2,1,Present,3,10114,4114,4109,0.998784638,506,501,0.990118577,1,40,10,13.1,3.1,3.36,5,5
20,2,1,Present,3,,4114,4109,0.998784638,506,501,0.990118577,2,40,10,14.2,4.2,,5,5
20,2,1,Present,3,,4114,4109,0.998784638,506,501,0.990118577,3,40,10,13.9,3.9,,5,5
20,2,1,Present,3,,4114,4109,0.998784638,506,501,0.990118577,4,40,10,13.4,3.4,,5,5
20,2,1,Present,3,,4114,4109,0.998784638,506,501,0.990118577,5,40,10,12.2,2.2,,5,5
21,2,2,Present,1,9.7,3700,0,0,412,0,0,1,40,10,10.6,0.6,0.88,3700,412
21,2,2,Present,1,,3700,0,0,412,0,0,2,40,10,10.2,0.2,,3700,412
21,2,2,Present,1,,3700,0,0,412,0,0,3,40,10,11,1,,3700,412
21,2,2,Present,1,,3700,0,0,412,0,0,4,40,10,11.4,1.4,,3700,412
21,2,2,Present,1,,3700,0,0,412,0,0,5,40,10,11.2,1.2,,3700,412
22,2,0,Present,3,8.7,2700,2408,0.891851852,1094,1086,0.992687386,1,40,10,13.3,3.3,3.18,292,8
22,2,0,Present,3,,2700,2408,0.891851852,1094,1086,0.992687386,2,40,10,12.4,2.4,,292,8
22,2,0,Present,3,,2700,2408,0.891851852,1094,1086,0.992687386,3,40,10,13.4,3.4,,292,8
22,2,0,Present,3,,2700,2408,0.891851852,1094,1086,0.992687386,4,40,10,13.2,3.2,,292,8
22,2,0,Present,3,,2700,2408,0.891851852,1094,1086,0.992687386,5,40,10,13.6,3.6,,292,8
23,2,1,Present,1,8.3,2300,0,0,489,0,0,1,40,10,12.9,2.9,2.98,2300,489
23,2,1,Present,1,,2300,0,0,489,0,0,2,40,10,12.8,2.8,,2300,489
23,2,1,Present,1,,2300,0,0,489,0,0,3,40,10,13.1,3.1,,2300,489
23,2,1,Present,1,,2300,0,0,489,0,0,4,40,10,13.6,3.6,,2300,489
